Word Strng,Produce-1600-2541-Redacted.txt,Produce-2000.txt,Produce-3000.txt,Produce-4000.txt,Produce-5000.txt,Produce-6000.txt,Produce-Box-1-Redacted.txt,Produce-Box-5-Redacted.txt,Produce-Box-5.txt,Produce-Box-6.txt,Total
aackermanleadershipoklahomacom,0,0,0,2,0,0,0,0,0,2,4
aaglimtiacoyahoocom,2,0,28,0,0,0,1,0,0,0,31
aandersonalecorg,40,0,0,0,0,0,2,0,0,0,42
aandersonalecorgmailtoaandersonalecorg,1,0,0,0,0,0,0,0,0,0,1
aaron,6,0,11,231,41,17,4,0,61,17,388
aaroncoopergovokgov,0,0,0,0,0,0,0,0,0,1,1
aaroncooperoagokgov,0,0,13,569,0,38,0,17,158,9,804
aaroncooperokcgmailcom,0,0,0,0,0,0,0,0,1,0,1
aarongxangocom,0,1,0,0,0,0,0,0,0,0,1
aaronmgcotcnet,6,0,0,0,0,0,0,0,0,5,11
aaronpogueconsortiumokccom,0,0,0,0,0,0,0,0,1,0,1
aaronworkwithiwscom,0,0,0,0,0,2,0,0,0,0,2
aarp,0,0,0,0,0,0,0,0,0,1,1
aarporg,0,0,0,0,0,0,0,0,0,1,1
aav,0,0,0,10,0,0,0,0,0,0,10
abamzaikirklandcom,0,1,6,6,0,0,0,0,0,0,13
abandon,0,0,0,0,0,0,4,0,0,0,4
abandoned,1,0,0,0,0,0,4,0,0,0,5
abandons,0,0,0,0,0,0,0,0,5,0,5
abassbuchaltercom,0,2,0,0,0,0,0,0,0,0,2
abbott,0,0,0,10,0,0,4,0,0,4,18
abdeljawad,0,0,0,0,0,0,0,0,0,1,1
abdullah,4,0,0,0,0,0,0,0,0,0,4
abeatydpsstateokus,0,0,0,0,0,0,0,0,0,3,3
abel,0,0,0,0,0,0,0,0,0,1,1
abernathy,0,0,0,0,0,0,0,0,0,1,1
abilene,30,0,0,0,0,0,0,0,5,0,35
abilities,0,0,0,0,0,0,4,0,0,0,4
ability,1,0,2,10,0,0,0,0,6,2,21
able,30,12,4,32,4,1,10,10,52,6,161
ablebodied,0,0,0,2,0,0,4,0,0,0,6
abney,0,0,2,0,0,0,0,0,0,0,2
abolishment,0,0,0,0,0,1,0,0,1,0,2
abolitionist,0,0,0,0,0,0,0,0,1,0,1
abortifacient,0,0,0,6,0,0,0,0,0,0,6
abortifacients,4,0,0,0,0,0,0,0,0,0,4
abortion,0,0,0,6,0,0,0,0,0,0,6
abortioninducing,0,0,0,6,0,0,0,0,0,0,6
abounds,0,0,0,0,0,0,0,0,10,0,10
about,181,84,186,340,4,4,25,18,99,17,958
above,39,53,19,201,4,0,6,7,12,0,341
abovementioned,0,0,0,0,0,2,0,0,0,0,2
abovereferenced,0,0,0,19,0,2,0,0,0,1,22
